sl,roll,sem,year,sub_code,total_credits,credit_obtained,timestamp,sub_type
4204,0801ME11,1,2008,CH101,8,DD,9/8/2009 13:40:56:92,CORE
4205,0801ME11,1,2008,CH110,3,BC,9/8/2009 13:40:56:92,CORE
4206,0801ME11,1,2008,EE101,8,CD,9/8/2009 13:40:56:92,CORE
4207,0801ME11,1,2008,HS101,6,CD,9/8/2009 13:40:56:92,CORE
4208,0801ME11,1,2008,MA101,8,DD,9/8/2009 13:40:56:92,CORE
4209,0801ME11,1,2008,ME111,7,CC,9/8/2009 13:40:56:92,CORE
4211,0801ME11,1,2008,PH110,3,BB,9/8/2009 13:41:08:53,CORE
4212,0801ME11,2,2008,CH102,6,CD,9/8/2009 13:41:08:53,CORE
4213,0801ME11,2,2008,CS101,6,DD,9/8/2009 13:41:08:53,CORE
4214,0801ME11,2,2008,CS110,3,BC,9/8/2009 13:41:08:53,CORE
4215,0801ME11,2,2008,EE102,4,BC,9/8/2009 13:41:08:53,CORE
4216,0801ME11,2,2008,MA102,8,DD,9/8/2009 13:41:08:53,CORE
4217,0801ME11,2,2008,ME101,8,CC,9/8/2009 13:41:08:53,CORE
4218,0801ME11,2,2008,ME110,3,BC,9/8/2009 13:40:56:92,CORE
4220,0801ME11,3,2009,CS201,9,CD,11/30/2009 15:56:08,CORE
4221,0801ME11,3,2009,HS201,6,DD,12-06-2010 17:10,HS ELECTIVE
4222,0801ME11,3,2009,MA201,8,DD,12-04-2010 16:26,CORE
4223,0801ME11,3,2009,ME201,6,DD,12-05-2010 12:51,CORE
4224,0801ME11,3,2009,ME204,6,DD,11/29/2010 12:57:09,CORE
4225,0801ME11,3,2009,ME205,8,DD,12-03-2010 11:50,CORE
4226,0801ME11,3,2009,ME211,4,BB,12-03-2009 15:23,CORE
4227,0801ME11,4,2009,EE280,6,DD,05-07-2011 11:53,CORE
4228,0801ME11,4,2009,EE281,3,CD,05-07-2010 13:16,CORE
4229,0801ME11,4,2009,HS202,6,CD,05-07-2010 18:53,HS ELECTIVE
4230,0801ME11,4,2009,MA251,6,DD,05-10-2011 11:18,Elective-Sc.
4231,0801ME11,4,2009,ME202,6,DD,05-02-2011 12:17,CORE
4232,0801ME11,4,2009,ME203,6,DD,7/16/2012 11:44:52,CORE
4233,0801ME11,4,2009,ME206,6,DD,05-02-2011 12:35,CORE
4234,0801ME11,4,2009,ME210,6,BC,05-07-2010 11:46,CORE
4235,0801ME11,4,2009,ME212,4,CC,05-07-2010 09:58,CORE
4236,0801ME11,5,2010,ME301,8,DD,12-06-2012 17:28,CORE
4237,0801ME11,5,2010,ME302,6,CC,12-06-2011 16:57,CORE
4238,0801ME11,5,2010,ME303,8,DD,12-05-2012 15:49,CORE
4239,0801ME11,5,2010,ME304,6,CD,12-06-2012 16:08,CORE
4240,0801ME11,5,2010,ME305,8,DD,12-06-2012 16:57,CORE
4241,0801ME11,5,2010,ME310,4,BB,12-06-2011 16:04,CORE
4242,0801ME11,5,2010,ME321,6,DD,12-09-2012 18:48,CORE
4243,0801ME11,6,2010,HS331,6,DD,05-03-2012 10:47,HSS Elective
4244,0801ME11,6,2010,ME306,8,DD,05-07-2012 09:09,CORE
4245,0801ME11,6,2010,ME307,8,CC,05-09-2013 16:32,CORE
4246,0801ME11,6,2010,ME308,6,DD,05-09-2013 10:58,CORE
4247,0801ME11,6,2010,ME309,8,DD,05-09-2013 11:04,CORE
4248,0801ME11,6,2010,ME311,4,BC,05-03-2012 16:34,CORE
4249,0801ME11,6,2010,ME322,6,DD,7/16/2014 11:07:31,CORE
4250,0801ME11,7,2014,ME400,2,AB,7/17/2014 16:32:13,CORE
4251,0801ME11,7,2013,ME401,8,CD,12-07-2013 14:17,CORE
4252,0801ME11,7,2013,ME411,4,BC,12-05-2013 16:15,CORE
4253,0801ME11,7,2013,ME498,8,AB,12-06-2013 20:44,CORE
4254,0801ME11,7,2013,ME501,6,CC,12-06-2013 13:34,Departmental Elective - I
4255,0801ME11,7,2013,ME503,6,DD,12-03-2013 16:42,Departmental Elective - II
4256,0801ME11,7,2013,PH401,6,CC,12-03-2013 17:32,Open Elective - I
4257,0801ME11,8,2014,HS441,6,DD,05-08-2014 15:04,HS Elective
4258,0801ME11,8,2014,ME447,6,CC,7/15/2014 16:32:13,Departmental Elective - III
4259,0801ME11,8,2014,ME449,6,DD,05-07-2014 15:55,Departmental Elective - IV
4260,0801ME11,8,2014,ME499,16,BC,05-09-2014 21:03,CORE
